Doing B
hidden_layers: [400, 300]
Epoch 1/200, Loss: 0.0496, Accuracy: 0.71%, Part-wise Accuracy: 82.71%, Batch Size: 64
Epoch 2/200, Loss: 0.0483, Accuracy: 0.85%, Part-wise Accuracy: 85.43%, Batch Size: 64
Epoch 3/200, Loss: 0.0482, Accuracy: 0.87%, Part-wise Accuracy: 85.75%, Batch Size: 64
Epoch 4/200, Loss: 0.0482, Accuracy: 0.91%, Part-wise Accuracy: 85.90%, Batch Size: 64
Epoch 5/200, Loss: 0.0482, Accuracy: 0.97%, Part-wise Accuracy: 86.04%, Batch Size: 64
Epoch 6/200, Loss: 0.0482, Accuracy: 1.03%, Part-wise Accuracy: 86.14%, Batch Size: 64
Epoch 7/200, Loss: 0.0482, Accuracy: 1.09%, Part-wise Accuracy: 86.19%, Batch Size: 64
Epoch 8/200, Loss: 0.0482, Accuracy: 1.13%, Part-wise Accuracy: 86.25%, Batch Size: 64
Epoch 9/200, Loss: 0.0481, Accuracy: 1.15%, Part-wise Accuracy: 86.26%, Batch Size: 64
Epoch 10/200, Loss: 0.0481, Accuracy: 1.18%, Part-wise Accuracy: 86.30%, Batch Size: 64
Epoch 11/200, Loss: 0.0481, Accuracy: 1.23%, Part-wise Accuracy: 86.34%, Batch Size: 64
Epoch 12/200, Loss: 0.0481, Accuracy: 1.25%, Part-wise Accuracy: 86.40%, Batch Size: 64
Epoch 13/200, Loss: 0.0481, Accuracy: 1.29%, Part-wise Accuracy: 86.41%, Batch Size: 64
Epoch 14/200, Loss: 0.0481, Accuracy: 1.32%, Part-wise Accuracy: 86.43%, Batch Size: 64
Epoch 15/200, Loss: 0.0481, Accuracy: 1.34%, Part-wise Accuracy: 86.46%, Batch Size: 64
Epoch 16/200, Loss: 0.0481, Accuracy: 1.35%, Part-wise Accuracy: 86.51%, Batch Size: 64
Epoch 17/200, Loss: 0.0481, Accuracy: 1.38%, Part-wise Accuracy: 86.53%, Batch Size: 64
Epoch 18/200, Loss: 0.0481, Accuracy: 1.41%, Part-wise Accuracy: 86.56%, Batch Size: 64
Epoch 19/200, Loss: 0.0481, Accuracy: 1.42%, Part-wise Accuracy: 86.57%, Batch Size: 64
Epoch 20/200, Loss: 0.0481, Accuracy: 1.45%, Part-wise Accuracy: 86.59%, Batch Size: 64
Epoch 21/200, Loss: 0.0481, Accuracy: 1.46%, Part-wise Accuracy: 86.60%, Batch Size: 64
Epoch 22/200, Loss: 0.0481, Accuracy: 1.47%, Part-wise Accuracy: 86.59%, Batch Size: 64
Epoch 23/200, Loss: 0.0481, Accuracy: 1.48%, Part-wise Accuracy: 86.60%, Batch Size: 64
Epoch 24/200, Loss: 0.0481, Accuracy: 1.50%, Part-wise Accuracy: 86.61%, Batch Size: 64
Epoch 25/200, Loss: 0.0481, Accuracy: 1.51%, Part-wise Accuracy: 86.64%, Batch Size: 64
Epoch 26/200, Loss: 0.0481, Accuracy: 1.51%, Part-wise Accuracy: 86.65%, Batch Size: 128
Epoch 27/200, Loss: 0.0249, Accuracy: 6.91%, Part-wise Accuracy: 75.88%, Batch Size: 128
Epoch 28/200, Loss: 0.0249, Accuracy: 7.88%, Part-wise Accuracy: 76.25%, Batch Size: 128
Epoch 29/200, Loss: 0.0249, Accuracy: 8.68%, Part-wise Accuracy: 76.47%, Batch Size: 128
Epoch 30/200, Loss: 0.0249, Accuracy: 9.39%, Part-wise Accuracy: 76.61%, Batch Size: 128
Epoch 31/200, Loss: 0.0249, Accuracy: 9.82%, Part-wise Accuracy: 76.73%, Batch Size: 128
Epoch 32/200, Loss: 0.0249, Accuracy: 10.33%, Part-wise Accuracy: 76.80%, Batch Size: 128
Epoch 33/200, Loss: 0.0249, Accuracy: 10.75%, Part-wise Accuracy: 76.85%, Batch Size: 128
Epoch 34/200, Loss: 0.0249, Accuracy: 11.13%, Part-wise Accuracy: 76.90%, Batch Size: 128
Epoch 35/200, Loss: 0.0249, Accuracy: 11.49%, Part-wise Accuracy: 76.92%, Batch Size: 128
Epoch 36/200, Loss: 0.0249, Accuracy: 11.87%, Part-wise Accuracy: 76.96%, Batch Size: 128
Epoch 37/200, Loss: 0.0249, Accuracy: 12.20%, Part-wise Accuracy: 77.01%, Batch Size: 128
Epoch 38/200, Loss: 0.0249, Accuracy: 12.57%, Part-wise Accuracy: 77.06%, Batch Size: 128
Epoch 39/200, Loss: 0.0249, Accuracy: 12.83%, Part-wise Accuracy: 77.08%, Batch Size: 128
Epoch 40/200, Loss: 0.0249, Accuracy: 13.11%, Part-wise Accuracy: 77.12%, Batch Size: 128
Epoch 41/200, Loss: 0.0249, Accuracy: 13.34%, Part-wise Accuracy: 77.17%, Batch Size: 128
Epoch 42/200, Loss: 0.0249, Accuracy: 13.61%, Part-wise Accuracy: 77.21%, Batch Size: 128
Epoch 43/200, Loss: 0.0249, Accuracy: 13.85%, Part-wise Accuracy: 77.23%, Batch Size: 128
Epoch 44/200, Loss: 0.0249, Accuracy: 14.11%, Part-wise Accuracy: 77.26%, Batch Size: 128
Epoch 45/200, Loss: 0.0249, Accuracy: 14.37%, Part-wise Accuracy: 77.29%, Batch Size: 128
Epoch 46/200, Loss: 0.0249, Accuracy: 14.64%, Part-wise Accuracy: 77.29%, Batch Size: 128
Epoch 47/200, Loss: 0.0249, Accuracy: 14.87%, Part-wise Accuracy: 77.31%, Batch Size: 128
Epoch 48/200, Loss: 0.0249, Accuracy: 15.10%, Part-wise Accuracy: 77.35%, Batch Size: 128
Epoch 49/200, Loss: 0.0249, Accuracy: 15.33%, Part-wise Accuracy: 77.39%, Batch Size: 128
Epoch 50/200, Loss: 0.0249, Accuracy: 15.57%, Part-wise Accuracy: 77.39%, Batch Size: 128
Epoch 51/200, Loss: 0.0249, Accuracy: 15.81%, Part-wise Accuracy: 77.38%, Batch Size: 256
Epoch 52/200, Loss: 0.0130, Accuracy: 29.83%, Part-wise Accuracy: 64.81%, Batch Size: 256
Epoch 53/200, Loss: 0.0129, Accuracy: 32.42%, Part-wise Accuracy: 65.83%, Batch Size: 256
Epoch 54/200, Loss: 0.0129, Accuracy: 34.01%, Part-wise Accuracy: 66.41%, Batch Size: 256
Epoch 55/200, Loss: 0.0129, Accuracy: 35.26%, Part-wise Accuracy: 66.79%, Batch Size: 256
Epoch 56/200, Loss: 0.0129, Accuracy: 36.49%, Part-wise Accuracy: 67.15%, Batch Size: 256
Epoch 57/200, Loss: 0.0129, Accuracy: 37.40%, Part-wise Accuracy: 67.43%, Batch Size: 256
Epoch 58/200, Loss: 0.0129, Accuracy: 38.16%, Part-wise Accuracy: 67.61%, Batch Size: 256
Epoch 59/200, Loss: 0.0129, Accuracy: 38.87%, Part-wise Accuracy: 67.82%, Batch Size: 256
Epoch 60/200, Loss: 0.0129, Accuracy: 39.50%, Part-wise Accuracy: 68.03%, Batch Size: 256
Epoch 61/200, Loss: 0.0129, Accuracy: 40.05%, Part-wise Accuracy: 68.18%, Batch Size: 256
Epoch 62/200, Loss: 0.0129, Accuracy: 40.56%, Part-wise Accuracy: 68.36%, Batch Size: 256
Epoch 63/200, Loss: 0.0129, Accuracy: 41.05%, Part-wise Accuracy: 68.46%, Batch Size: 256
Epoch 64/200, Loss: 0.0129, Accuracy: 41.58%, Part-wise Accuracy: 68.57%, Batch Size: 256
Epoch 65/200, Loss: 0.0129, Accuracy: 41.99%, Part-wise Accuracy: 68.63%, Batch Size: 256
Epoch 66/200, Loss: 0.0129, Accuracy: 42.44%, Part-wise Accuracy: 68.75%, Batch Size: 256
Epoch 67/200, Loss: 0.0129, Accuracy: 42.84%, Part-wise Accuracy: 68.88%, Batch Size: 256
Epoch 68/200, Loss: 0.0129, Accuracy: 43.13%, Part-wise Accuracy: 68.98%, Batch Size: 256
Epoch 69/200, Loss: 0.0129, Accuracy: 43.51%, Part-wise Accuracy: 69.04%, Batch Size: 256
Epoch 70/200, Loss: 0.0129, Accuracy: 43.83%, Part-wise Accuracy: 69.19%, Batch Size: 256
Epoch 71/200, Loss: 0.0129, Accuracy: 44.13%, Part-wise Accuracy: 69.26%, Batch Size: 256
Epoch 72/200, Loss: 0.0129, Accuracy: 44.38%, Part-wise Accuracy: 69.35%, Batch Size: 256
Epoch 73/200, Loss: 0.0129, Accuracy: 44.65%, Part-wise Accuracy: 69.44%, Batch Size: 256
Epoch 74/200, Loss: 0.0129, Accuracy: 44.96%, Part-wise Accuracy: 69.52%, Batch Size: 256
Epoch 75/200, Loss: 0.0129, Accuracy: 45.26%, Part-wise Accuracy: 69.61%, Batch Size: 256
Epoch 76/200, Loss: 0.0129, Accuracy: 45.49%, Part-wise Accuracy: 69.67%, Batch Size: 512
Epoch 77/200, Loss: 0.0067, Accuracy: 45.98%, Part-wise Accuracy: 60.08%, Batch Size: 512
Epoch 78/200, Loss: 0.0067, Accuracy: 49.23%, Part-wise Accuracy: 60.99%, Batch Size: 512
Epoch 79/200, Loss: 0.0067, Accuracy: 51.35%, Part-wise Accuracy: 61.47%, Batch Size: 512
Epoch 80/200, Loss: 0.0067, Accuracy: 52.66%, Part-wise Accuracy: 61.84%, Batch Size: 512
Epoch 81/200, Loss: 0.0067, Accuracy: 53.84%, Part-wise Accuracy: 62.08%, Batch Size: 512
Epoch 82/200, Loss: 0.0067, Accuracy: 54.68%, Part-wise Accuracy: 62.30%, Batch Size: 512
Epoch 83/200, Loss: 0.0067, Accuracy: 55.36%, Part-wise Accuracy: 62.50%, Batch Size: 512
Epoch 84/200, Loss: 0.0067, Accuracy: 55.95%, Part-wise Accuracy: 62.71%, Batch Size: 512
Epoch 85/200, Loss: 0.0067, Accuracy: 56.46%, Part-wise Accuracy: 62.90%, Batch Size: 512
Epoch 86/200, Loss: 0.0067, Accuracy: 56.88%, Part-wise Accuracy: 63.05%, Batch Size: 512
Epoch 87/200, Loss: 0.0067, Accuracy: 57.28%, Part-wise Accuracy: 63.20%, Batch Size: 512
Epoch 88/200, Loss: 0.0067, Accuracy: 57.69%, Part-wise Accuracy: 63.36%, Batch Size: 512
Epoch 89/200, Loss: 0.0067, Accuracy: 58.04%, Part-wise Accuracy: 63.48%, Batch Size: 512
Epoch 90/200, Loss: 0.0066, Accuracy: 58.36%, Part-wise Accuracy: 63.58%, Batch Size: 512
Epoch 91/200, Loss: 0.0066, Accuracy: 58.68%, Part-wise Accuracy: 63.69%, Batch Size: 512
Epoch 92/200, Loss: 0.0066, Accuracy: 58.94%, Part-wise Accuracy: 63.80%, Batch Size: 512
Epoch 93/200, Loss: 0.0066, Accuracy: 59.20%, Part-wise Accuracy: 63.87%, Batch Size: 512
Epoch 94/200, Loss: 0.0066, Accuracy: 59.45%, Part-wise Accuracy: 63.95%, Batch Size: 512
