Epoch 1/180, Loss: 0.0568, Accuracy: 5.18%, Part-wise Accuracy: 29.03%, Batch Size: 64
Epoch 2/180, Loss: 0.0568, Accuracy: 5.18%, Part-wise Accuracy: 27.85%, Batch Size: 64
Epoch 3/180, Loss: 0.0569, Accuracy: 5.18%, Part-wise Accuracy: 28.27%, Batch Size: 64
Epoch 4/180, Loss: 0.0569, Accuracy: 5.18%, Part-wise Accuracy: 28.95%, Batch Size: 64
Epoch 5/180, Loss: 0.0569, Accuracy: 5.28%, Part-wise Accuracy: 29.74%, Batch Size: 64
Epoch 6/180, Loss: 0.0569, Accuracy: 5.42%, Part-wise Accuracy: 30.60%, Batch Size: 64
Epoch 7/180, Loss: 0.0569, Accuracy: 5.86%, Part-wise Accuracy: 31.60%, Batch Size: 64
Epoch 8/180, Loss: 0.0568, Accuracy: 6.35%, Part-wise Accuracy: 32.54%, Batch Size: 64
Epoch 9/180, Loss: 0.0568, Accuracy: 6.94%, Part-wise Accuracy: 33.42%, Batch Size: 64
Epoch 10/180, Loss: 0.0568, Accuracy: 7.55%, Part-wise Accuracy: 34.36%, Batch Size: 64
Epoch 11/180, Loss: 0.0567, Accuracy: 8.31%, Part-wise Accuracy: 35.03%, Batch Size: 64
Epoch 12/180, Loss: 0.0567, Accuracy: 9.13%, Part-wise Accuracy: 35.71%, Batch Size: 64
Epoch 13/180, Loss: 0.0566, Accuracy: 9.99%, Part-wise Accuracy: 36.37%, Batch Size: 64
Epoch 14/180, Loss: 0.0566, Accuracy: 10.76%, Part-wise Accuracy: 37.05%, Batch Size: 64
Epoch 15/180, Loss: 0.0566, Accuracy: 11.53%, Part-wise Accuracy: 37.52%, Batch Size: 64
Epoch 16/180, Loss: 0.0565, Accuracy: 12.26%, Part-wise Accuracy: 37.92%, Batch Size: 64
Epoch 17/180, Loss: 0.0565, Accuracy: 12.95%, Part-wise Accuracy: 38.39%, Batch Size: 64
Epoch 18/180, Loss: 0.0564, Accuracy: 13.73%, Part-wise Accuracy: 38.82%, Batch Size: 64
Epoch 19/180, Loss: 0.0564, Accuracy: 14.51%, Part-wise Accuracy: 39.20%, Batch Size: 64
Epoch 20/180, Loss: 0.0563, Accuracy: 15.22%, Part-wise Accuracy: 39.49%, Batch Size: 64
Epoch 21/180, Loss: 0.0563, Accuracy: 16.04%, Part-wise Accuracy: 39.83%, Batch Size: 128
Epoch 22/180, Loss: 0.0285, Accuracy: 24.44%, Part-wise Accuracy: 32.53%, Batch Size: 128
Epoch 23/180, Loss: 0.0285, Accuracy: 25.26%, Part-wise Accuracy: 34.04%, Batch Size: 128
Epoch 24/180, Loss: 0.0285, Accuracy: 25.86%, Part-wise Accuracy: 34.64%, Batch Size: 128
Epoch 25/180, Loss: 0.0285, Accuracy: 26.42%, Part-wise Accuracy: 35.22%, Batch Size: 128
Epoch 26/180, Loss: 0.0285, Accuracy: 26.97%, Part-wise Accuracy: 35.74%, Batch Size: 128
Epoch 27/180, Loss: 0.0284, Accuracy: 27.53%, Part-wise Accuracy: 36.28%, Batch Size: 128
Epoch 28/180, Loss: 0.0284, Accuracy: 27.99%, Part-wise Accuracy: 36.71%, Batch Size: 128
Epoch 29/180, Loss: 0.0284, Accuracy: 28.42%, Part-wise Accuracy: 37.10%, Batch Size: 128
Epoch 30/180, Loss: 0.0284, Accuracy: 28.84%, Part-wise Accuracy: 37.57%, Batch Size: 128
Epoch 31/180, Loss: 0.0284, Accuracy: 29.28%, Part-wise Accuracy: 38.06%, Batch Size: 128
Epoch 32/180, Loss: 0.0283, Accuracy: 29.75%, Part-wise Accuracy: 38.48%, Batch Size: 128
Epoch 33/180, Loss: 0.0283, Accuracy: 30.15%, Part-wise Accuracy: 38.87%, Batch Size: 128
Epoch 34/180, Loss: 0.0283, Accuracy: 30.59%, Part-wise Accuracy: 39.26%, Batch Size: 128
Epoch 35/180, Loss: 0.0283, Accuracy: 31.05%, Part-wise Accuracy: 39.70%, Batch Size: 128
Epoch 36/180, Loss: 0.0283, Accuracy: 31.51%, Part-wise Accuracy: 40.09%, Batch Size: 128
Epoch 37/180, Loss: 0.0283, Accuracy: 32.00%, Part-wise Accuracy: 40.43%, Batch Size: 128
