Epoch 1/500, Loss: 0.1010, Accuracy: 0.87%, Part-wise Accuracy: 74.51%, Batch Size: 32
Epoch 2/500, Loss: 0.1007, Accuracy: 1.07%, Part-wise Accuracy: 76.19%, Batch Size: 32
Epoch 3/500, Loss: 0.1005, Accuracy: 1.47%, Part-wise Accuracy: 76.97%, Batch Size: 32
Epoch 4/500, Loss: 0.1004, Accuracy: 1.81%, Part-wise Accuracy: 77.55%, Batch Size: 32
Epoch 5/500, Loss: 0.1003, Accuracy: 2.14%, Part-wise Accuracy: 77.89%, Batch Size: 32
Epoch 6/500, Loss: 0.1003, Accuracy: 2.41%, Part-wise Accuracy: 78.22%, Batch Size: 32
Epoch 7/500, Loss: 0.1002, Accuracy: 2.68%, Part-wise Accuracy: 78.46%, Batch Size: 32
Epoch 8/500, Loss: 0.1002, Accuracy: 2.95%, Part-wise Accuracy: 78.68%, Batch Size: 32
Epoch 9/500, Loss: 0.1001, Accuracy: 3.18%, Part-wise Accuracy: 78.83%, Batch Size: 32
Epoch 10/500, Loss: 0.1001, Accuracy: 3.42%, Part-wise Accuracy: 78.96%, Batch Size: 32
Epoch 11/500, Loss: 0.1001, Accuracy: 3.64%, Part-wise Accuracy: 79.09%, Batch Size: 32
Epoch 12/500, Loss: 0.1001, Accuracy: 3.89%, Part-wise Accuracy: 79.19%, Batch Size: 32
Epoch 13/500, Loss: 0.1000, Accuracy: 4.08%, Part-wise Accuracy: 79.34%, Batch Size: 32
Epoch 14/500, Loss: 0.1000, Accuracy: 4.24%, Part-wise Accuracy: 79.49%, Batch Size: 32
Epoch 15/500, Loss: 0.1000, Accuracy: 4.39%, Part-wise Accuracy: 79.61%, Batch Size: 32
Epoch 16/500, Loss: 0.1000, Accuracy: 4.58%, Part-wise Accuracy: 79.70%, Batch Size: 32
Epoch 17/500, Loss: 0.1000, Accuracy: 4.69%, Part-wise Accuracy: 79.82%, Batch Size: 32
Epoch 18/500, Loss: 0.0999, Accuracy: 4.81%, Part-wise Accuracy: 79.89%, Batch Size: 32
