Epoch 1/300, Loss: 0.0993, Accuracy: 0.68%, Part-wise Accuracy: 80.57%, Batch Size: 32
Epoch 2/300, Loss: 0.0992, Accuracy: 0.68%, Part-wise Accuracy: 80.85%, Batch Size: 32
Epoch 3/300, Loss: 0.0991, Accuracy: 0.69%, Part-wise Accuracy: 81.15%, Batch Size: 32
Epoch 4/300, Loss: 0.0991, Accuracy: 0.77%, Part-wise Accuracy: 81.46%, Batch Size: 32
Epoch 5/300, Loss: 0.0990, Accuracy: 0.88%, Part-wise Accuracy: 81.80%, Batch Size: 32
Epoch 6/300, Loss: 0.0990, Accuracy: 1.05%, Part-wise Accuracy: 82.02%, Batch Size: 32
Epoch 7/300, Loss: 0.0989, Accuracy: 1.29%, Part-wise Accuracy: 82.20%, Batch Size: 32
Epoch 8/300, Loss: 0.0989, Accuracy: 1.57%, Part-wise Accuracy: 82.41%, Batch Size: 32
Epoch 9/300, Loss: 0.0989, Accuracy: 1.86%, Part-wise Accuracy: 82.57%, Batch Size: 32
Epoch 10/300, Loss: 0.0989, Accuracy: 2.06%, Part-wise Accuracy: 82.69%, Batch Size: 32
Epoch 11/300, Loss: 0.0989, Accuracy: 2.28%, Part-wise Accuracy: 82.82%, Batch Size: 32
Epoch 12/300, Loss: 0.0988, Accuracy: 2.50%, Part-wise Accuracy: 82.96%, Batch Size: 32
Epoch 13/300, Loss: 0.0988, Accuracy: 2.76%, Part-wise Accuracy: 83.04%, Batch Size: 32
Epoch 14/300, Loss: 0.0988, Accuracy: 2.99%, Part-wise Accuracy: 83.18%, Batch Size: 32
Epoch 15/300, Loss: 0.0988, Accuracy: 3.13%, Part-wise Accuracy: 83.32%, Batch Size: 32
Epoch 16/300, Loss: 0.0988, Accuracy: 3.30%, Part-wise Accuracy: 83.44%, Batch Size: 64
Epoch 17/300, Loss: 0.0512, Accuracy: 16.98%, Part-wise Accuracy: 73.29%, Batch Size: 64
Epoch 18/300, Loss: 0.0512, Accuracy: 18.33%, Part-wise Accuracy: 73.80%, Batch Size: 64
Epoch 19/300, Loss: 0.0511, Accuracy: 19.56%, Part-wise Accuracy: 74.05%, Batch Size: 64
Epoch 20/300, Loss: 0.0511, Accuracy: 20.72%, Part-wise Accuracy: 74.33%, Batch Size: 64
Epoch 21/300, Loss: 0.0511, Accuracy: 21.68%, Part-wise Accuracy: 74.59%, Batch Size: 64
Epoch 22/300, Loss: 0.0511, Accuracy: 22.58%, Part-wise Accuracy: 74.84%, Batch Size: 64
Epoch 23/300, Loss: 0.0511, Accuracy: 23.39%, Part-wise Accuracy: 75.05%, Batch Size: 64
Epoch 24/300, Loss: 0.0511, Accuracy: 24.26%, Part-wise Accuracy: 75.26%, Batch Size: 64
Epoch 25/300, Loss: 0.0511, Accuracy: 24.89%, Part-wise Accuracy: 75.44%, Batch Size: 64
Epoch 26/300, Loss: 0.0511, Accuracy: 25.63%, Part-wise Accuracy: 75.59%, Batch Size: 64
Epoch 27/300, Loss: 0.0511, Accuracy: 26.30%, Part-wise Accuracy: 75.71%, Batch Size: 64
Epoch 28/300, Loss: 0.0511, Accuracy: 26.89%, Part-wise Accuracy: 75.87%, Batch Size: 64
Epoch 29/300, Loss: 0.0510, Accuracy: 27.52%, Part-wise Accuracy: 76.00%, Batch Size: 64
Epoch 30/300, Loss: 0.0510, Accuracy: 28.05%, Part-wise Accuracy: 76.12%, Batch Size: 64
Epoch 31/300, Loss: 0.0510, Accuracy: 28.55%, Part-wise Accuracy: 76.25%, Batch Size: 128
Epoch 32/300, Loss: 0.0265, Accuracy: 28.89%, Part-wise Accuracy: 66.55%, Batch Size: 128
Epoch 33/300, Loss: 0.0265, Accuracy: 30.50%, Part-wise Accuracy: 66.84%, Batch Size: 128
Epoch 34/300, Loss: 0.0264, Accuracy: 31.91%, Part-wise Accuracy: 67.21%, Batch Size: 128
Epoch 35/300, Loss: 0.0264, Accuracy: 33.13%, Part-wise Accuracy: 67.45%, Batch Size: 128
Epoch 36/300, Loss: 0.0264, Accuracy: 34.20%, Part-wise Accuracy: 67.68%, Batch Size: 128
Epoch 37/300, Loss: 0.0264, Accuracy: 35.28%, Part-wise Accuracy: 67.87%, Batch Size: 128
Epoch 38/300, Loss: 0.0264, Accuracy: 36.34%, Part-wise Accuracy: 68.07%, Batch Size: 128
Epoch 39/300, Loss: 0.0264, Accuracy: 37.23%, Part-wise Accuracy: 68.25%, Batch Size: 128
