Epoch 1/1000, Loss: 0.0545, Accuracy: 5.22%, Part-wise Accuracy: 41.62%, Batch Size: 64
Epoch 2/1000, Loss: 0.0544, Accuracy: 5.90%, Part-wise Accuracy: 45.75%, Batch Size: 64
Epoch 3/1000, Loss: 0.0543, Accuracy: 6.45%, Part-wise Accuracy: 47.62%, Batch Size: 64
Epoch 4/1000, Loss: 0.0543, Accuracy: 6.98%, Part-wise Accuracy: 48.89%, Batch Size: 64
Epoch 5/1000, Loss: 0.0542, Accuracy: 7.76%, Part-wise Accuracy: 49.92%, Batch Size: 64
Epoch 6/1000, Loss: 0.0542, Accuracy: 8.51%, Part-wise Accuracy: 50.73%, Batch Size: 64
Epoch 7/1000, Loss: 0.0542, Accuracy: 9.20%, Part-wise Accuracy: 51.29%, Batch Size: 64
Epoch 8/1000, Loss: 0.0541, Accuracy: 9.82%, Part-wise Accuracy: 51.85%, Batch Size: 64
Epoch 9/1000, Loss: 0.0541, Accuracy: 10.42%, Part-wise Accuracy: 52.47%, Batch Size: 64
Epoch 10/1000, Loss: 0.0541, Accuracy: 10.97%, Part-wise Accuracy: 52.94%, Batch Size: 64
Epoch 11/1000, Loss: 0.0541, Accuracy: 11.46%, Part-wise Accuracy: 53.29%, Batch Size: 64
Epoch 12/1000, Loss: 0.0540, Accuracy: 11.95%, Part-wise Accuracy: 53.64%, Batch Size: 64
Epoch 13/1000, Loss: 0.0540, Accuracy: 12.41%, Part-wise Accuracy: 53.99%, Batch Size: 64
Epoch 14/1000, Loss: 0.0540, Accuracy: 12.90%, Part-wise Accuracy: 54.27%, Batch Size: 64
Epoch 15/1000, Loss: 0.0540, Accuracy: 13.33%, Part-wise Accuracy: 54.60%, Batch Size: 64
Epoch 16/1000, Loss: 0.0540, Accuracy: 13.83%, Part-wise Accuracy: 54.86%, Batch Size: 64
Epoch 17/1000, Loss: 0.0540, Accuracy: 14.35%, Part-wise Accuracy: 55.14%, Batch Size: 64
