Epoch 1/600, Loss: 0.0569, Accuracy: 5.18%, Part-wise Accuracy: 28.56%, Batch Size: 64
Epoch 2/600, Loss: 0.0567, Accuracy: 5.18%, Part-wise Accuracy: 28.53%, Batch Size: 64
Epoch 3/600, Loss: 0.0565, Accuracy: 5.18%, Part-wise Accuracy: 30.83%, Batch Size: 64
Epoch 4/600, Loss: 0.0563, Accuracy: 5.18%, Part-wise Accuracy: 33.02%, Batch Size: 64
Epoch 5/600, Loss: 0.0561, Accuracy: 5.18%, Part-wise Accuracy: 34.93%, Batch Size: 64
Epoch 6/600, Loss: 0.0560, Accuracy: 5.18%, Part-wise Accuracy: 36.37%, Batch Size: 64
Epoch 7/600, Loss: 0.0558, Accuracy: 5.18%, Part-wise Accuracy: 37.50%, Batch Size: 64
Epoch 8/600, Loss: 0.0557, Accuracy: 5.18%, Part-wise Accuracy: 38.78%, Batch Size: 64
Epoch 9/600, Loss: 0.0557, Accuracy: 5.18%, Part-wise Accuracy: 39.85%, Batch Size: 64
Epoch 10/600, Loss: 0.0556, Accuracy: 5.29%, Part-wise Accuracy: 40.75%, Batch Size: 64
Epoch 11/600, Loss: 0.0555, Accuracy: 5.59%, Part-wise Accuracy: 41.64%, Batch Size: 64
Epoch 12/600, Loss: 0.0554, Accuracy: 5.99%, Part-wise Accuracy: 42.51%, Batch Size: 64
Epoch 13/600, Loss: 0.0554, Accuracy: 6.23%, Part-wise Accuracy: 43.04%, Batch Size: 64
Epoch 14/600, Loss: 0.0553, Accuracy: 6.43%, Part-wise Accuracy: 43.31%, Batch Size: 64
Epoch 15/600, Loss: 0.0553, Accuracy: 6.66%, Part-wise Accuracy: 43.87%, Batch Size: 64
Epoch 16/600, Loss: 0.0552, Accuracy: 6.90%, Part-wise Accuracy: 44.76%, Batch Size: 64
Epoch 17/600, Loss: 0.0551, Accuracy: 7.24%, Part-wise Accuracy: 46.10%, Batch Size: 64
Epoch 18/600, Loss: 0.0550, Accuracy: 7.81%, Part-wise Accuracy: 46.51%, Batch Size: 64
Epoch 19/600, Loss: 0.0550, Accuracy: 8.60%, Part-wise Accuracy: 46.49%, Batch Size: 64
Epoch 20/600, Loss: 0.0550, Accuracy: 9.43%, Part-wise Accuracy: 46.43%, Batch Size: 64
Epoch 21/600, Loss: 0.0550, Accuracy: 10.35%, Part-wise Accuracy: 46.70%, Batch Size: 64
Epoch 22/600, Loss: 0.0550, Accuracy: 10.65%, Part-wise Accuracy: 46.85%, Batch Size: 64
Epoch 23/600, Loss: 0.0550, Accuracy: 11.33%, Part-wise Accuracy: 46.91%, Batch Size: 64
Epoch 24/600, Loss: 0.0550, Accuracy: 11.85%, Part-wise Accuracy: 46.88%, Batch Size: 64
Epoch 25/600, Loss: 0.0550, Accuracy: 12.60%, Part-wise Accuracy: 47.10%, Batch Size: 64
Epoch 26/600, Loss: 0.0551, Accuracy: 13.33%, Part-wise Accuracy: 46.79%, Batch Size: 64
Epoch 27/600, Loss: 0.0550, Accuracy: 13.94%, Part-wise Accuracy: 47.22%, Batch Size: 64
Epoch 28/600, Loss: 0.0550, Accuracy: 14.33%, Part-wise Accuracy: 47.69%, Batch Size: 64
Epoch 29/600, Loss: 0.0549, Accuracy: 14.58%, Part-wise Accuracy: 48.30%, Batch Size: 64
Epoch 30/600, Loss: 0.0549, Accuracy: 15.07%, Part-wise Accuracy: 48.51%, Batch Size: 64
Epoch 31/600, Loss: 0.0548, Accuracy: 15.65%, Part-wise Accuracy: 49.03%, Batch Size: 64
Epoch 32/600, Loss: 0.0547, Accuracy: 16.03%, Part-wise Accuracy: 49.51%, Batch Size: 64
Epoch 33/600, Loss: 0.0547, Accuracy: 16.39%, Part-wise Accuracy: 49.82%, Batch Size: 64
Epoch 34/600, Loss: 0.0547, Accuracy: 16.46%, Part-wise Accuracy: 49.82%, Batch Size: 64
Epoch 35/600, Loss: 0.0548, Accuracy: 16.51%, Part-wise Accuracy: 49.55%, Batch Size: 64
Epoch 36/600, Loss: 0.0548, Accuracy: 16.62%, Part-wise Accuracy: 49.48%, Batch Size: 64
Epoch 37/600, Loss: 0.0547, Accuracy: 16.99%, Part-wise Accuracy: 49.61%, Batch Size: 64
