Epoch 1/300, Loss: 0.0984, Accuracy: 0.68%, Part-wise Accuracy: 84.17%, Batch Size: 32
Epoch 2/300, Loss: 0.0982, Accuracy: 0.68%, Part-wise Accuracy: 85.00%, Batch Size: 32
Epoch 3/300, Loss: 0.0978, Accuracy: 0.69%, Part-wise Accuracy: 86.34%, Batch Size: 32
Epoch 4/300, Loss: 0.0976, Accuracy: 0.69%, Part-wise Accuracy: 87.12%, Batch Size: 32
Epoch 5/300, Loss: 0.0974, Accuracy: 0.69%, Part-wise Accuracy: 87.57%, Batch Size: 32
Epoch 6/300, Loss: 0.0973, Accuracy: 0.74%, Part-wise Accuracy: 87.95%, Batch Size: 32
Epoch 7/300, Loss: 0.0972, Accuracy: 0.77%, Part-wise Accuracy: 88.24%, Batch Size: 32
Epoch 8/300, Loss: 0.0971, Accuracy: 0.81%, Part-wise Accuracy: 88.52%, Batch Size: 32
Epoch 9/300, Loss: 0.0971, Accuracy: 0.82%, Part-wise Accuracy: 88.72%, Batch Size: 32
Epoch 10/300, Loss: 0.0970, Accuracy: 0.83%, Part-wise Accuracy: 88.93%, Batch Size: 32
Epoch 11/300, Loss: 0.0970, Accuracy: 0.84%, Part-wise Accuracy: 89.07%, Batch Size: 32
Epoch 12/300, Loss: 0.0970, Accuracy: 0.86%, Part-wise Accuracy: 89.15%, Batch Size: 32
Epoch 13/300, Loss: 0.0969, Accuracy: 0.87%, Part-wise Accuracy: 89.25%, Batch Size: 32
Epoch 14/300, Loss: 0.0969, Accuracy: 0.92%, Part-wise Accuracy: 89.33%, Batch Size: 32
Epoch 15/300, Loss: 0.0969, Accuracy: 0.95%, Part-wise Accuracy: 89.44%, Batch Size: 32
Epoch 16/300, Loss: 0.0969, Accuracy: 0.98%, Part-wise Accuracy: 89.52%, Batch Size: 32
Epoch 17/300, Loss: 0.0968, Accuracy: 1.04%, Part-wise Accuracy: 89.62%, Batch Size: 32
Epoch 18/300, Loss: 0.0968, Accuracy: 1.08%, Part-wise Accuracy: 89.71%, Batch Size: 32
Epoch 19/300, Loss: 0.0968, Accuracy: 1.09%, Part-wise Accuracy: 89.76%, Batch Size: 32
Epoch 20/300, Loss: 0.0968, Accuracy: 1.12%, Part-wise Accuracy: 89.81%, Batch Size: 32
Epoch 21/300, Loss: 0.0968, Accuracy: 1.13%, Part-wise Accuracy: 89.83%, Batch Size: 32
Epoch 22/300, Loss: 0.0968, Accuracy: 1.16%, Part-wise Accuracy: 89.89%, Batch Size: 32
Epoch 23/300, Loss: 0.0967, Accuracy: 1.22%, Part-wise Accuracy: 89.92%, Batch Size: 32
Epoch 24/300, Loss: 0.0967, Accuracy: 1.28%, Part-wise Accuracy: 89.95%, Batch Size: 32
Epoch 25/300, Loss: 0.0967, Accuracy: 1.35%, Part-wise Accuracy: 89.98%, Batch Size: 32
Epoch 26/300, Loss: 0.0967, Accuracy: 1.41%, Part-wise Accuracy: 90.02%, Batch Size: 32
Epoch 27/300, Loss: 0.0967, Accuracy: 1.48%, Part-wise Accuracy: 90.07%, Batch Size: 32
Epoch 28/300, Loss: 0.0967, Accuracy: 1.55%, Part-wise Accuracy: 90.09%, Batch Size: 32
Epoch 29/300, Loss: 0.0967, Accuracy: 1.61%, Part-wise Accuracy: 90.12%, Batch Size: 32
Epoch 30/300, Loss: 0.0967, Accuracy: 1.66%, Part-wise Accuracy: 90.15%, Batch Size: 32
Epoch 31/300, Loss: 0.0967, Accuracy: 1.69%, Part-wise Accuracy: 90.17%, Batch Size: 32
Epoch 32/300, Loss: 0.0967, Accuracy: 1.72%, Part-wise Accuracy: 90.18%, Batch Size: 32
Epoch 33/300, Loss: 0.0966, Accuracy: 1.78%, Part-wise Accuracy: 90.20%, Batch Size: 32
Epoch 34/300, Loss: 0.0966, Accuracy: 1.83%, Part-wise Accuracy: 90.17%, Batch Size: 32
Epoch 35/300, Loss: 0.0966, Accuracy: 1.88%, Part-wise Accuracy: 90.17%, Batch Size: 32
Epoch 36/300, Loss: 0.0966, Accuracy: 1.92%, Part-wise Accuracy: 90.17%, Batch Size: 64
Epoch 37/300, Loss: 0.0497, Accuracy: 6.04%, Part-wise Accuracy: 82.13%, Batch Size: 64
Epoch 38/300, Loss: 0.0497, Accuracy: 6.66%, Part-wise Accuracy: 82.07%, Batch Size: 64
Epoch 39/300, Loss: 0.0497, Accuracy: 7.11%, Part-wise Accuracy: 82.19%, Batch Size: 64
