Iteration 1, loss = 2.55237770
Iteration 2, loss = 1.80544738
Iteration 3, loss = 1.75300980
Iteration 4, loss = 1.74351608
Iteration 5, loss = 1.73788081
Iteration 6, loss = 1.73368837
Iteration 7, loss = 1.73022491
Iteration 8, loss = 1.72723513
Iteration 9, loss = 1.72452975
Iteration 10, loss = 1.72205048
Iteration 11, loss = 1.71975337
Iteration 12, loss = 1.71760875
Iteration 13, loss = 1.71556729
Iteration 14, loss = 1.71364704
Iteration 15, loss = 1.71179810
Iteration 16, loss = 1.71003382
Iteration 17, loss = 1.70833390
Iteration 18, loss = 1.70670031
Iteration 19, loss = 1.70511477
Iteration 20, loss = 1.70357756
Iteration 21, loss = 1.70209645
Iteration 22, loss = 1.70065227
Iteration 23, loss = 1.69925314
Iteration 24, loss = 1.69787906
Iteration 25, loss = 1.69654199
Iteration 26, loss = 1.69524793
Iteration 27, loss = 1.69397363
Iteration 28, loss = 1.69272628
Iteration 29, loss = 1.69150540
Iteration 30, loss = 1.69030583
Iteration 31, loss = 1.68913636
Iteration 32, loss = 1.68798715
Iteration 33, loss = 1.68685793
Iteration 34, loss = 1.68574822
Iteration 35, loss = 1.68465611
Iteration 36, loss = 1.68358185
Iteration 37, loss = 1.68252488
Iteration 38, loss = 1.68148428
Iteration 39, loss = 1.68045828
Iteration 40, loss = 1.67944686
Iteration 41, loss = 1.67845173
Iteration 42, loss = 1.67746916
Iteration 43, loss = 1.67650515
Iteration 44, loss = 1.67555026
Iteration 45, loss = 1.67460725
Iteration 46, loss = 1.67368021
Iteration 47, loss = 1.67275614
Iteration 48, loss = 1.67184866
Iteration 49, loss = 1.67095272
Iteration 50, loss = 1.67006736
Iteration 51, loss = 1.66918948
Iteration 52, loss = 1.66831948
Iteration 53, loss = 1.66746071
Iteration 54, loss = 1.66661301
Iteration 55, loss = 1.66577824
Iteration 56, loss = 1.66494774
Iteration 57, loss = 1.66412471
Iteration 58, loss = 1.66331055
Iteration 59, loss = 1.66250329
Iteration 60, loss = 1.66170460
Iteration 61, loss = 1.66090702
Iteration 62, loss = 1.66012970
Iteration 63, loss = 1.65935310
Iteration 64, loss = 1.65858120
